publication_id,keyword_id,score,pub_id,kw_id
318662,23644,0.00605904,p318662,k23644
318662,52905,0.00264163,p318662,k52905
318662,69894,0.31472,p318662,k69894
361876,46,0.447425,p361876,k46
361876,122,0.00434593,p361876,k122
361876,1583,0.393884,p361876,k1583
361876,1729,0.00499916,p361876,k1729
361876,2602,0.452649,p361876,k2602
361876,2778,0.263271,p361876,k2778
361876,6770,0.427515,p361876,k6770
361876,35389,0.433859,p361876,k35389
361876,52603,0.319472,p361876,k52603
368576,78,0.300772,p368576,k78
368576,640,0.00522237,p368576,k640
368576,722,0.241832,p368576,k722
368576,1422,0.320477,p368576,k1422
368576,3123,0.355182,p368576,k3123
368576,5513,0.231047,p368576,k5513
368576,6799,0.173454,p368576,k6799
368576,8429,0.172569,p368576,k8429
368576,8729,0.183876,p368576,k8729
380549,29,0.387949,p380549,k29
380549,1044,0.336037,p380549,k1044
380549,2414,0.00840711,p380549,k2414
380549,10101,0.00308429,p380549,k10101
380549,17760,0.00494747,p380549,k17760
380549,17790,0.00405796,p380549,k17790
380549,20304,0.00424164,p380549,k20304
380549,33710,0.00243661,p380549,k33710
380549,62461,0.263121,p380549,k62461
403312,2886,0.0042839,p403312,k2886
403312,6436,0.348737,p403312,k6436
403312,6605,0.00516638,p403312,k6605
403312,8052,0.396133,p403312,k8052
403312,9958,0.282098,p403312,k9958
403312,31015,0.38695,p403312,k31015
403312,35545,0.00445759,p403312,k35545
403312,37173,0.00560364,p403312,k37173
403312,67273,0.322286,p403312,k67273
405070,199,0.00195961,p405070,k199
405070,4167,0.119603,p405070,k4167
405070,7096,0.00766865,p405070,k7096
405070,9918,0.00205236,p405070,k9918
405070,19263,0.00335698,p405070,k19263
405070,20075,0.0017266,p405070,k20075
405070,33296,0.314423,p405070,k33296
405070,38636,0.00247048,p405070,k38636
405070,78196,0.00352486,p405070,k78196
421218,1435,0.367921,p421218,k1435
421218,3702,0.28191,p421218,k3702
421218,5341,0.416695,p421218,k5341
421218,14614,0.294595,p421218,k14614
421218,15264,0.00411446,p421218,k15264
421218,21326,0.197365,p421218,k21326
421218,23457,0.00577329,p421218,k23457
421218,50685,0.259698,p421218,k50685
421218,56609,0.0746035,p421218,k56609
442490,1037,0.25009,p442490,k1037
442490,4764,0.38564,p442490,k4764
442490,6278,0.339248,p442490,k6278
442490,6766,0.332345,p442490,k6766
442490,11437,0.174535,p442490,k11437
442490,16524,0.548487,p442490,k16524
442490,18532,0.328761,p442490,k18532
442490,35143,0.244597,p442490,k35143
442490,58462,0.362128,p442490,k58462
476394,574,0.201305,p476394,k574
476394,2584,0.171131,p476394,k2584
476394,3682,0.144126,p476394,k3682
476394,3699,0.242919,p476394,k3699
476394,4047,0.014435,p476394,k4047
476394,5210,0.172246,p476394,k5210
476394,22569,0.0965446,p476394,k22569
476394,32724,0.230772,p476394,k32724
476394,74041,0.00347553,p476394,k74041
478671,0,0.00936713,p478671,k0
478671,122,0.00442655,p478671,k122
478671,640,0.00586574,p478671,k640
